1731802275.934	/MyCase1	38841	0	0	0	0	0	0	0	0	200
1731802276.890	/MyCase1	11910	0	0	0	0	0	0	0	0	200
1731802277.773	/MyCase1	18923	0	0	0	0	0	0	0	0	200
1731802278.584	/MyCase1	13886	0	0	0	0	0	0	0	0	200
1731802279.352	/MyCase1	10440	0	0	0	0	0	0	0	0	200
1731802280.077	/MyCase1	24818	0	0	0	0	0	0	0	0	200
1731802280.767	/MyCase1	10302	0	0	0	0	0	0	0	0	200
1731802281.427	/MyCase1	21439	0	0	0	0	0	0	0	0	200
1731802282.060	/MyCase1	13684	0	0	0	0	0	0	0	0	200
1731802282.669	/MyCase1	17644	0	0	0	0	0	0	0	0	200
1731802283.255	/MyCase1	17338	0	0	0	0	0	0	0	0	200
1731802283.824	/MyCase1	11880	0	0	0	0	0	0	0	0	200
1731802284.374	/MyCase1	11616	0	0	0	0	0	0	0	0	200
1731802284.909	/MyCase1	7371	0	0	0	0	0	0	0	0	200
1731802285.429	/MyCase1	15160	0	0	0	0	0	0	0	0	200
